year,annual_inflation_rate,annual_stock_return,annual_bond_return,annual_home_appreciation_rate,annual_cash_return
1928,-0.017,0.3788,0.0308,0.0322,.01
1929,0.000,-0.1191,0.0316,0.0302,.01
1930,-0.023,-0.2848,0.0455,0.0054,.01
1931,-0.090,-0.4707,0.0231,-0.1568,.01
1932,-0.099,-0.1515,0.0107,0.2359,.01
1933,-0.051,0.4659,0.0096,0.1297,.01
1934,0.031,-0.0594,0.0028,0.1882,.01
1935,0.022,0.4137,0.0017,0.1331,.01
1936,0.015,0.2792,0.0017,0.1138,.01
1937,0.036,-0.3859,0.0028,-0.0442,.01
1938,-0.021,0.2521,0.0007,0.0924,.01
1939,-0.014,-0.0545,0.0005,0.0798,.01
1940,0.007,-0.1529,0.0004,0.0865,.01
1941,0.050,-0.1786,0.0013,0.0501,.01
1942,0.109,0.1243,0.0034,0.0518,.01
1943,0.061,0.1945,0.0038,0.0804,.01
1944,0.017,0.1380,0.0038,0.0657,.01
1945,0.023,0.3072,0.0038,0.068,.01
1946,0.083,-0.1187,0.0038,0.0251,.01
1947,0.144,0.0000,0.006,0.0026,.01
1948,0.081,-0.0065,0.0105,0.0344,.01
1949,-0.012,0.1026,0.0112,0.0538,.01
1950,0.013,0.2178,0.012,0.0424,.01
1951,0.079,0.1646,0.0152,-0.0019,.01
1952,0.019,0.1178,0.0172,0.0444,.01
1953,0.008,-0.0662,0.0189,0.0162,.01
1954,0.007,0.4502,0.0094,0.0616,.01
1955,-0.004,0.2640,0.0172,0.0204,.01
1956,0.015,0.0262,0.0262,-0.0235,.01
1957,0.033,-0.1431,0.0322,-0.0072,.01
1958,0.028,0.3806,0.0177,0.0643,.01
1959,0.007,0.0848,0.0339,0.0157,.01
1960,0.017,-0.0297,0.0287,0.0666,.01
1961,0.010,0.2313,0.0235,0.051,.01
1962,0.010,-0.1181,0.0277,0.065,.01
1963,0.013,0.1889,0.0316,0.0546,.01
1964,0.013,0.1297,0.0355,0.0516,.01
1965,0.016,0.0906,0.0395,0.0319,.01
1966,0.029,-0.1309,0.0486,-0.0345,.01
1967,0.031,0.2009,0.0429,0.009,.01
1968,0.042,0.0766,0.0534,0.0485,.01
1969,0.055,-0.1136,0.0667,-0.0203,.01
1970,0.057,0.0010,0.0639,0.0565,.01
1971,0.044,0.1079,0.0433,0.14,.01
1972,0.032,0.1563,0.0406,0.1141,.01
1973,0.062,-0.1737,0.0704,0.0432,.01
1974,0.110,-0.2972,0.0785,-0.0438,.01
1975,0.091,0.3155,0.0579,0.1105,.01
1976,0.058,0.1915,0.0498,0.1975,.01
1977,0.065,-0.1150,0.0526,0.0995,.01
1978,0.076,0.0106,0.0718,0.0314,.01
1979,0.113,0.1231,0.1005,-0.0201,.01
1980,0.135,0.2577,0.1139,-0.0332,.01
1981,0.103,-0.0973,0.1404,0.0846,.01
1982,0.062,0.1476,0.1109,0.2905,.01
1983,0.032,0.1727,0.0895,0.1619,.01
1984,0.043,0.0140,0.0992,0.1562,.01
1985,0.036,0.2633,0.0772,0.2386,.01
1986,0.019,0.1462,0.0615,0.2215,.01
1987,0.036,0.0203,0.0596,0.0112,.01
1988,0.041,0.1240,0.0689,0.1568,.01
1989,0.048,0.2725,0.0839,0.1631,.01
1990,0.054,-0.0656,0.0775,0.0565,.01
1991,0.042,0.2631,0.0554,0.164,.01
1992,0.030,0.0446,0.0351,0.1368,.01
1993,0.030,0.0706,0.0307,0.1644,.01
1994,0.026,-0.0154,0.0437,-0.0123,.01
1995,0.028,0.3411,0.0566,0.2009,.01
1996,0.030,0.2026,0.0515,0.0528,.01
1997,0.023,0.3101,0.052,0.113,.01
1998,0.016,0.2667,0.0491,0.081,.01
1999,0.022,0.1953,0.0478,0.0097,.01
2000,0.034,-0.1014,0.06,0.0938,.01
2001,0.028,-0.1304,0.0348,0.086,.01
2002,0.016,-0.2337,0.0164,0.1206,.01
2003,0.023,0.2638,0.0103,0.1238,.01
2004,0.027,0.0899,0.014,0.1033,.01
2005,0.034,0.0300,0.0322,0.0513,.01
2006,0.032,0.1362,0.0485,0.0527,.01
2007,0.028,0.0353,0.0448,0.049,.01
2008,0.038,-0.3849,0.014,-0.0344,.01
2009,-0.004,0.2345,0.0015,0.1996,.01
2010,0.016,0.1278,0.0014,0.094,.01
2011,0.032,0.0000,0.0005,0.1226,.01
2012,0.021,0.1341,0.0009,0.094,.01
2013,0.015,0.2960,0.0006,-0.0113,.01
2014,0.016,0.1139,0.0003,0.1075,.01
2015,0.001,-0.0073,0.0005,-0.015,.01
2016,0.013,0.0954,0.0032,0.1152,.01
2017,0.021,0.1942,0.0095,0.0915,.01
2018,0.024,-0.0624,0.0197,-0.0318,.01
2019,0.018,0.2888,0.0211,0.1525,.01
2020,0.012,0.1626,0.0036,0.106,.01
2021,0.047,0.2689,0.0004,0.0102,.01
2022,0.080,-0.1944,0.0209,-0.1523,.01
2023,0.041,0.2423,0.0528,0.0874,.01
2024,0.029,0.2331,0.0518,0.0174,.01
2025,0.026,0.1639,0.0421,0.0696,.01
